MÊS;PRODUTO;REGIÃO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA;MARGEM MÉDIA REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;;;;;
fev/13;ETANOL HIDRATADO;NORDESTE;5878;R$/l;2,272;0,117;1,920;2,999;0,267;0,051;2,005;0,113;1,583;2,319;0,056;;;;;
fev/13;ETANOL HIDRATADO;NORTE;1440;R$/l;2,368;0,175;1,999;3,150;0,306;0,074;2,062;0,181;1,532;2,601;0,088;;;;;
fev/13;ETANOL HIDRATADO;SUDESTE;16939;R$/l;1,932;0,222;1,480;2,790;0,264;0,115;1,668;0,196;1,300;2,515;0,118;;;;;
fev/13;ETANOL HIDRATADO;SUL;5895;R$/l;2,123;0,225;1,789;2,960;0,254;0,106;1,869;0,197;1,568;2,596;0,105;;;;;
fev/13;GASOLINA COMUM;CENTRO OESTE;2407;R$/l;2,972;0,116;2,590;3,350;0,457;0,039;2,515;0,068;2,292;2,877;0,027;;;;;
fev/13;GASOLINA COMUM;NORDESTE;6484;R$/l;2,885;0,116;2,520;3,349;0,438;0,040;2,447;0,087;2,227;2,899;0,036;;;;;
fev/13;GASOLINA COMUM;NORTE;2385;R$/l;3,012;0,165;2,530;3,580;0,459;0,055;2,553;0,093;2,300;2,890;0,036;;;;;
fev/13;GASOLINA COMUM;SUDESTE;17120;R$/l;2,846;0,151;2,390;3,899;0,399;0,053;2,447;0,119;2,095;2,965;0,049;;;;;
fev/13;GASOLINA COMUM;SUL;6268;R$/l;2,912;0,096;2,449;3,490;0,449;0,033;2,463;0,063;2,179;2,738;0,026;;;;;
fev/13;GLP;CENTRO OESTE;3724;R$/13kg;42,274;5,066;36,000;59,000;7,721;0,120;34,553;4,423;28,000;45,000;0,128;;;;;
fev/13;GLP;NORDESTE;5198;R$/13kg;38,683;4,120;26,000;50,000;10,351;0,107;28,332;4,306;21,600;41,000;0,152;;;;;
fev/13;GLP;NORTE;2880;R$/13kg;42,247;3,454;32,000;62,000;8,876;0,082;33,371;3,419;19,170;40,980;0,102;;;;;
fev/13;GLP;SUDESTE;13830;R$/13kg;40,444;3,540;28,900;53,000;11,481;0,088;28,963;3,425;14,663;39,990;0,118;;;;;
fev/13;GLP;SUL;6539;R$/13kg;41,304;3,269;30,000;50,000;9,874;0,079;31,430;2,996;16,140;40,500;0,095;;;;;
fev/13;GNV;CENTRO OESTE;29;R$/m3;1,969;0,085;1,890;2,190;0,546;0,043;1,423;0,017;1,420;1,459;0,012;;;;;
fev/13;GNV;NORDESTE;538;R$/m3;1,824;0,092;1,490;2,369;0,471;0,050;1,353;0,131;1,085;1,896;0,097;;;;;
